toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
1012.01,427508467,APC,07h48m22.87s,117.095285,+06d47m06.23s,6.785064,-2.99,0.202,-0.202,0.0,-0.029,0.106,-0.106,0.0,2459252.509595,0.000369,-0.000369,0,0.884182,7e-07,-7e-07,0,1.621,0.035,-0.035,0,1890.0,311.366,-311.366,0,24.8132,5.41599,-5.41599,0,112144.0,,,,5098.0,,,,8.12718,0.006,-0.006,0,295.959,11.315,-11.315,0,8928.0,128.7,-128.7,0,3.92,0.08,-0.08,0,2.72,0.13,-0.13,0,2019-07-24 15:58:33,2023-03-10 12:02:48
1039.01,461867584,APC,09h58m45.25s,149.688545,-58d45m37.63s,-58.760453,-6.434,0.215,-0.215,0.0,4.098,0.246,-0.246,0.0,2460031.2166,0.00071,-0.00071,0,4.420125,8.5e-06,-8.5e-06,0,3.956,1.259,-1.259,0,2466.0,196.3,-196.3,0,,,,0,,,,,,,,,8.5483,0.6,-0.6,0,2864.34,1012.54,-1012.54,0,,,,0,,,,0,,,,0,2019-07-24 18:44:12,2023-05-05 16:02:01
1060.01,101230735,APC,19h57m09.84s,299.290995,-48d56m04.11s,-48.934476,2.224,0.286,-0.286,0.0,-14.604,0.228,-0.228,0.0,2460149.536226,0.001995,-0.001995,0,2.0685633,4e-06,-4e-06,0,0.373,0.065,-0.065,0,502.0,169.202,-169.202,0,3.89739,0.417306,-0.417306,0,24.409,,,,619.0,,,,9.6652,0.006,-0.006,0,128.491,3.3745,-3.3745,0,5687.9,76.0,-76.0,0,4.6,0.12,-0.12,0,1.14,0.07,-0.07,0,2019-08-16 20:20:42,2023-10-16 16:02:02
1085.01,381979901,APC,05h10m25.3s,77.605399,-59d32m08.39s,-59.535664,1.584,1.171,-1.171,0.0,17.711,1.171,-1.171,0.0,2460041.175097,0.00086,-0.00086,0,3.2541181,8e-07,-8e-07,0,4.341,0.018,-0.018,0,13620.0,0.118046,-0.118046,0,14.9476,,,0,1436.45,,,,,,,,11.6577,0.006,-0.006,0,444.066,,,0,6102.0,193.0,-193.0,0,4.28649,2.00486,-2.00486,0,1.28,,,0,2019-08-16 20:20:49,2023-07-12 16:02:01
1094.01,136274063,APC,15h21m59.72s,230.498827,-53d49m10.56s,-53.819601,-2.718,0.102,-0.102,0.0,-4.896,0.092,-0.092,0.0,2459360.160536,0.001302,-0.001302,0,0.5971314,1.4e-06,-1.4e-06,0,0.468,0.109,-0.109,0,910.0,12.7147,-12.7147,0,9.08382,0.96597,-0.96597,0,1596.43,,,,1760.0,,,,9.9806,0.007,-0.007,0,426.003,9.675,-9.675,0,7710.0,140.2,-140.2,0,3.98,0.08,-0.08,0,2.28,0.09,-0.09,0,2019-08-06 19:29:59,2022-10-05 10:10:01
1114.01,409934330,APC,20h08m35.45s,302.147728,-71d33m08.79s,-71.552443,4.3,1.6,-1.6,0.0,12.5,1.4,-1.4,0.0,2460148.616195,0.000482,-0.000482,0,2.4887726,1.4e-06,-1.4e-06,0,2.632,0.07,-0.07,0,4852.0,79.8358,-79.8358,0,,,,0,773.3029498,,,,1344.9531805,,,,8.1129,0.006,-0.006,0,174.475,,,0,8048.0,,,0,4.438,,,0,,,,0,2019-08-16 20:20:50,2023-09-14 16:02:01
1115.01,379286801,APC,18h53m12.44s,283.301843,-54d54m38.9s,-54.910806,-3.758,0.074,-0.074,0.0,-12.916,0.049,-0.049,0.0,2458658.32747,0.00109,-0.00109,0,4.45199,0.00035,-0.00035,0,2.109,0.087,-0.087,0,8483.38,2082.29,-2082.29,0,15.8858,7.89042,-7.89042,0,1013.74,,,,1571.0,,,,10.526,0.006,-0.006,0,359.215,8.103,-8.103,0,6708.3,119.7,-119.7,0,4.2,0.09,-0.09,0,1.57,0.06,-0.06,0,2019-08-15 15:39:14,2021-10-29 12:59:15
1119.01,261369656,APC,19h30m25.16s,292.604815,-46d16m41.07s,-46.278074,19.136,0.06,-0.06,0.0,-29.092,0.041,-0.041,0.0,2458666.52199,0.00188,-0.00188,0,10.95663,0.00203,-0.00203,0,3.588,0.259,-0.259,0,3830.0,1477.42,-1477.42,0,23.9726,8.82147,-8.82147,0,619.065,,,,1389.0,,,,10.5024,0.006,-0.006,0,421.518,7.0305,-7.0305,0,6456.0,127.2,-127.2,0,3.92,0.09,-0.09,0,2.07,0.1,-0.1,0,2019-08-22 14:42:11,2021-10-29 12:59:15
1123.01,469782185,APC,19h29m33.96s,292.391505,-37d18m14.43s,-37.304009,-20.519,0.15,-0.15,0.0,1.569,0.138,-0.138,0.0,2458658.04087,0.00026,-0.00026,0,1.20928,2e-05,-2e-05,0,1.886,0.025,-0.025,0,11883.8,825.818,-825.818,0,15.1764,4.0994,-4.0994,0,,,,,,,,,10.2398,0.006,-0.006,0,161.932,2.2055,-2.2055,0,5159.8,156.3,-156.3,0,4.23,0.08,-0.08,0,1.27,0.07,-0.07,0,2019-08-22 14:42:10,2021-10-29 12:59:15
1124.01,128790976,APC,20h00m51.1s,300.212928,-43d58m57.1s,-43.982529,57.283,0.136,-0.136,0.0,-119.195,0.113,-0.113,0.0,2460149.391758,0.001349,-0.001349,0,3.5187707,9.4e-06,-9.4e-06,0,2.408,0.36,-0.36,0,5634.0,2587.51,-2587.51,0,14.0061,2.57585,-2.57585,0,2000.01,,,,1863.0,,,,7.2235,0.006,-0.006,0,75.7145,0.60865,-0.60865,0,6690.0,119.9,-119.9,0,4.24,0.09,-0.09,0,1.49,0.07,-0.07,0,2019-08-22 14:42:10,2023-09-14 10:08:02
