parameter,value
t0,1349.4127638036655
rp_r_star,0.0001
a_r_star,200.0
rp_earth,0.012557761732851983
u1,0.0
method,batman_map
stellar_r_star,1.15
stellar_r_star_err,0.05
stellar_m_star,1.0348225993061717
stellar_m_star_err,0.10348225993061717
stellar_teff,5855.533203125
stellar_teff_err,5857.32373046875
stellar_logg,4.223499774932861
stellar_logg_err,
stellar_feh,-0.2298000007867813
stellar_feh_err,
stellar_lum,
stellar_lum_err,
stellar_age,
stellar_age_err,
stellar_method,gaia_only
stellar_rho_star,0.9592729799660152
stellar_rho_star_err,0.15766325562281935
period_d,6.267832
period_source,archive
