parameter,value
rp_r_star,0.017573461867597822
rp_r_star_err,5.3492033772387395e-05
rp_r_star_16,0.017503809844780404
rp_r_star_84,0.01761826366207117
b,0.09990516962789897
b_err,0.0001756608342863952
b_16,0.09979778495557205
b_84,0.10019922459133113
period,6.279246486287229
period_err,0.009207418831337381
period_16,6.2696351578391445
period_84,6.288153128160362
t0,1325.492795752778
t0_err,0.0012686622549352752
t0_16,1325.4906598911625
t0_84,1325.4935848831235
rho_star,0.9592425882835416
rho_star_err,0.0006437956181955725
rho_star_16,0.9588087489714349
rho_star_84,0.9603758164344554
a_r_star,12.60309485029278
a_r_star_err,0.010185944652363514
a_r_star_16,12.590618937016227
a_r_star_84,12.612775899461864
t14_hr,3.8589718961992405
t14_hr_err,0.002894183440812799
t14_hr_16,3.855094346470961
t14_hr_84,3.8615765027309528
rp_earth,2.1944695164802734
rp_earth_err,0.09293223215238292
rp_earth_16,2.099505163354151
rp_earth_84,2.281128949738671
a_au,0.06689507018720339
a_au_err,0.002830964133409453
a_au_16,0.06410062386162797
a_au_84,0.06981363802062655
t_eq,1135.5361056384638
t_eq_err,1234.6166185959055
t_eq_16,34.41029588711616
t_eq_84,2688.790364622911
stellar_r_star,1.15
stellar_r_star_err,0.05
stellar_m_star,1.0348225993061717
stellar_m_star_err,0.10348225993061717
stellar_teff,5855.533203125
stellar_teff_err,5857.32373046875
stellar_logg,4.223499774932861
stellar_logg_err,
stellar_feh,-0.2298000007867813
stellar_feh_err,
stellar_lum,
stellar_lum_err,
stellar_age,
stellar_age_err,
stellar_method,gaia_only
stellar_rho_star,0.9592729799660152
stellar_rho_star_err,0.15766325562281935
period_d,6.267878268874984
period_source,archive
