parameter,value
rp_r_star,0.017773655791258943
rp_r_star_err,0.00036681998089644686
rp_r_star_16,0.017261549173544916
rp_r_star_84,0.018105566602661886
b,0.10021779737334013
b_err,0.0010639665199927157
b_16,0.0990478701456601
b_84,0.10129255752917027
period,6.26463774709176
period_err,0.01225255634779913
period_16,6.252650425261214
period_84,6.277643105990009
t0,1325.494174042029
t0_err,0.012435583294956436
t0_16,1325.4795394809532
t0_84,1325.5058002661135
rho_star,0.9647614856663407
rho_star_err,0.0055455141565167124
rho_star_16,0.9543425282457487
rho_star_84,0.9685139719017996
a_r_star,12.598535201998791
a_r_star_err,0.016683183709201133
a_r_star_16,12.577484366994245
a_r_star_84,12.616935973023136
t14_hr,3.848903530545379
t14_hr_err,0.010847888051238097
t14_hr_16,3.8407896984063
t14_hr_84,3.867075761694391
rp_earth,2.242562288741893
rp_earth_err,0.10037505564085232
rp_earth_16,2.13688471968257
rp_earth_84,2.2910446737980377
a_au,0.06742868924423867
a_au_err,0.002956722633234064
a_au_16,0.06460029662507616
a_au_84,0.0703194624849446
t_eq,1002.9531111464455
t_eq_err,1098.540103661224
t_eq_16,184.57091746203074
t_eq_84,2964.7459552185155
stellar_r_star,1.15
stellar_r_star_err,0.05
stellar_m_star,1.0348225993061717
stellar_m_star_err,0.10348225993061717
stellar_teff,5855.533203125
stellar_teff_err,5857.32373046875
stellar_logg,4.223499774932861
stellar_logg_err,
stellar_feh,-0.2298000007867813
stellar_feh_err,
stellar_lum,
stellar_lum_err,
stellar_age,
stellar_age_err,
stellar_method,gaia_only
stellar_rho_star,0.9592729799660152
stellar_rho_star_err,0.15766325562281935
period_d,6.267597934028787
period_source,archive
