parameter,value
planet_1_rp_r_star,0.01703308963787291
planet_1_rp_r_star_err,0.0
planet_1_rp_r_star_16,0.01703308963787291
planet_1_rp_r_star_84,0.01703308963787291
planet_1_b,0.10000000000000003
planet_1_b_err,0.0
planet_1_b_16,0.10000000000000003
planet_1_b_84,0.10000000000000003
planet_1_period,6.267763005662437
planet_1_period_err,0.0
planet_1_period_16,6.267763005662437
planet_1_period_84,6.267763005662437
planet_1_t0,3042.8884615870593
planet_1_t0_err,0.0
planet_1_t0_16,3042.8884615870593
planet_1_t0_84,3042.8884615870593
planet_1_rho_star,0.9592729799660152
planet_1_rho_star_err,0.0
planet_1_rho_star_16,0.9592729799660152
planet_1_rho_star_84,0.9592729799660152
planet_1_a_r_star,12.586858549967475
planet_1_a_r_star_err,0.0
planet_1_a_r_star_16,12.586858549967475
planet_1_a_r_star_84,12.586858549967475
planet_1_t14_hr,3.8544725783200824
planet_1_t14_hr_err,0.0
planet_1_t14_hr_16,3.8544725783200824
planet_1_t14_hr_84,3.8544725783200824
planet_1_rp_earth,2.051879085176745
planet_1_rp_earth_err,0.05746725131648822
planet_1_rp_earth_16,2.012801354281533
planet_1_rp_earth_84,2.090956816071957
planet_1_a_au,0.06457107560418185
planet_1_a_au_err,0.0018084507300301506
planet_1_a_au_16,0.06334132910776134
planet_1_a_au_84,0.06580082210060235
planet_1_t_eq,849.8905102078849
planet_1_t_eq_err,426.0157343985224
planet_1_t_eq_16,560.1998108168896
planet_1_t_eq_84,1139.58120959888
stellar_r_star,1.15
stellar_r_star_err,0.05
stellar_m_star,1.0348225993061717
stellar_m_star_err,0.10348225993061717
stellar_teff,5855.533203125
stellar_teff_err,5857.32373046875
stellar_logg,4.223499774932861
stellar_logg_err,
stellar_feh,-0.2298000007867813
stellar_feh_err,
stellar_lum,
stellar_lum_err,
stellar_age,
stellar_age_err,
stellar_method,gaia_only
stellar_rho_star,0.9592729799660152
stellar_rho_star_err,0.15766325562281935
period_d,6.267763005662437
period_source,archive
